Float pumping speeds by length of pipe between two pumps:
length: 1 measured in pump: 6000 measured out pump: 6000
length: 2 measured in pump: 3000 measured out pump: 3000
length: 3 measured in pump: 2250 measured out pump: 2250
length: 4 measured in pump: 1909.0909423828 measured out pump: 1909.0909423828
length: 5 measured in pump: 1714.2856445313 measured out pump: 1714.2856445313
length: 6 measured in pump: 1588.2353515625 measured out pump: 1588.2353515625
length: 7 measured in pump: 1500 measured out pump: 1500
length: 8 measured in pump: 1434.7825927734 measured out pump: 1434.7825927734
length: 9 measured in pump: 1384.6153564453 measured out pump: 1384.6153564453
length: 10 measured in pump: 1344.8276367188 measured out pump: 1344.8276367188
length: 11 measured in pump: 1312.5 measured out pump: 1312.5
length: 12 measured in pump: 1285.7143554688 measured out pump: 1285.7143554688
length: 13 measured in pump: 1263.1578369141 measured out pump: 1263.1578369141
length: 14 measured in pump: 1243.90234375 measured out pump: 1243.90234375
length: 15 measured in pump: 1227.2727050781 measured out pump: 1227.2727050781
length: 16 measured in pump: 1212.7659912109 measured out pump: 1212.7659912109
length: 17 measured in pump: 1200 measured out pump: 1200
length: 18 measured in pump: 1188.6793212891 measured out pump: 1188.6793212891
length: 19 measured in pump: 1178.5714111328 measured out pump: 1178.5714111328
length: 20 measured in pump: 1169.4915771484 measured out pump: 1169.4915771484
length: 21 measured in pump: 1161.2904052734 measured out pump: 1161.2904052734
length: 22 measured in pump: 1153.8461914063 measured out pump: 1153.8461914063
length: 23 measured in pump: 1147.0588378906 measured out pump: 1147.0588378906
length: 24 measured in pump: 1140.8449707031 measured out pump: 1140.8449707031
length: 25 measured in pump: 1135.1351318359 measured out pump: 1135.1351318359
length: 26 measured in pump: 1129.8701171875 measured out pump: 1129.8701171875
length: 27 measured in pump: 1125 measured out pump: 1125
length: 28 measured in pump: 1120.4819335938 measured out pump: 1120.4819335938
length: 29 measured in pump: 1116.2790527344 measured out pump: 1116.2790527344
length: 30 measured in pump: 1112.3594970703 measured out pump: 1112.3594970703
length: 31 measured in pump: 1108.6956787109 measured out pump: 1108.6956787109
length: 32 measured in pump: 1105.2631835938 measured out pump: 1105.2631835938
length: 33 measured in pump: 1102.0408935547 measured out pump: 1102.0408935547
length: 34 measured in pump: 1099.0098876953 measured out pump: 1099.0098876953
length: 35 measured in pump: 1096.1539306641 measured out pump: 1096.1539306641
length: 36 measured in pump: 1093.4578857422 measured out pump: 1093.4578857422
length: 37 measured in pump: 1090.9090576172 measured out pump: 1090.9090576172
length: 38 measured in pump: 1088.4956054688 measured out pump: 1088.4956054688
length: 39 measured in pump: 1086.2069091797 measured out pump: 1086.2069091797
length: 40 measured in pump: 1084.0335693359 measured out pump: 1084.0335693359
length: 41 measured in pump: 1081.9672851563 measured out pump: 1081.9672851563
length: 42 measured in pump: 1080 measured out pump: 1080
length: 43 measured in pump: 1078.125 measured out pump: 1078.125
length: 44 measured in pump: 1076.3359375 measured out pump: 1076.3359375
length: 45 measured in pump: 1074.6268310547 measured out pump: 1074.6268310547
length: 46 measured in pump: 1072.9926757813 measured out pump: 1072.9926757813
length: 47 measured in pump: 1071.4285888672 measured out pump: 1071.4285888672
length: 48 measured in pump: 1069.9301757813 measured out pump: 1069.9301757813
length: 49 measured in pump: 1068.4931640625 measured out pump: 1068.4931640625
length: 50 measured in pump: 1067.1140136719 measured out pump: 1067.1140136719
length: 51 measured in pump: 1065.7895507813 measured out pump: 1065.7895507813
length: 52 measured in pump: 1064.5161132813 measured out pump: 1064.5161132813
length: 53 measured in pump: 1063.2911376953 measured out pump: 1063.2911376953
length: 54 measured in pump: 1062.1118164063 measured out pump: 1062.1118164063
length: 55 measured in pump: 1060.9755859375 measured out pump: 1060.9755859375
